rateID:ID,value_percent:double,description,validFrom:date,validUntil:date,regionScope,:LABEL
FR001-AG-Solar,20.0,Fördersatz Solar Aargau 2024,2024-01-01,2024-12-31,AG,FundingRate
FR002-CH-WP,15.0,Fördersatz WP Bund 2024,2024-01-01,,CH,FundingRate
FR003-AG-Heiz-23,3000.0,Pauschale Heizungsersatz AG <20kW 2023,2023-01-01,2023-12-31,AG,FundingRate
FR004-AG-Heiz-24,3200.0,Pauschale Heizungsersatz AG <20kW 2024,2024-01-01,2024-12-31,AG,FundingRate
FR005-ZH-Fenster,50.0,Beitrag Fenstersanierung Stadt Zürich /m2,2024-01-01,,ZH,FundingRate
FR006-LU-GebHuelle,60.0,Beitrag Dämmung Kanton Luzern /m2,2024-01-01,,LU,FundingRate
FR007-AG-Lueftung,15.0,Fördersatz Komfortlüftung Aargau,2024-01-01,,AG,FundingRate
FR008-BE-GebHuelle,55.0,Beitrag Dämmung Kanton Bern /m2,2023-06-01,2024-05-31,BE,FundingRate
FR009-AG-Solar-23,22.0,Fördersatz Solar Aargau 2023,2023-01-01,2023-12-31,AG,FundingRate
FR010-CH-GebProg,40.0,Max. Beitrag Gebäudeprogramm für Sanierung (%),2022-01-01,,CH,FundingRate
