eventID:ID,timestamp:datetime,eventType,details,:LABEL
EVT001,2023-09-15T10:00:00,ProjectStatusChange,Status von P001 auf Completed gesetzt.,Event
EVT002,2024-01-15T08:30:00,ProjectCreated,Projekt P002 erstellt.,Event
EVT003,2023-04-01T07:51:59,InteractionLogged,Detail Info for Event 3,Event
EVT004,2025-04-06T04:40:53,ProjectStatusChange,Detail Info for Event 4,Event
EVT005,2023-07-21T04:57:16,ProjectCreated,Detail Info for Event 5,Event
EVT006,2024-01-15T11:05:00,PrerequisiteFulfilled,Voraussetzung PR002 für P002 erfüllt (Vertrag DOC006).,Event
EVT007,2023-05-18T23:30:46,ProjectStatusChange,Detail Info for Event 7,Event
EVT008,2024-02-01T09:00:00,WorkPackageStatusChange,Status von WP-P002-1 auf Completed gesetzt.,Event
EVT009,2024-07-24T21:56:32,ProjectStatusChange,Detail Info for Event 9,Event
EVT010,2024-10-30T15:25:40,ReportGenerated,Detail Info for Event 10,Event
EVT011,2025-02-08T23:16:31,PrerequisiteFulfilled,Detail Info for Event 11,Event
EVT012,2023-09-02T18:20:36,FundingStatusChange,Detail Info for Event 12,Event
EVT013,2023-04-10T12:40:22,ProjectStatusChange,Detail Info for Event 13,Event
EVT014,2024-06-27T15:31:53,ClientCreated,Detail Info for Event 14,Event
EVT015,2023-11-11T02:12:17,PrerequisiteFulfilled,Detail Info for Event 15,Event
EVT016,2023-09-20T04:19:22,DocumentUpload,Detail Info for Event 16,Event
EVT017,2024-05-02T20:24:44,UserLogin,Detail Info for Event 17,Event
EVT018,2023-08-23T09:46:58,PrerequisiteFulfilled,Detail Info for Event 18,Event
EVT019,2025-03-21T09:26:11,ProjectStatusChange,Detail Info for Event 19,Event
EVT020,2024-04-29T17:11:20,ClientCreated,Detail Info for Event 20,Event
EVT021,2023-05-15T19:29:00,InteractionLogged,Detail Info for Event 21,Event
EVT022,2023-12-17T12:41:48,ClientCreated,Detail Info for Event 22,Event
EVT023,2024-01-18T08:00:27,ReportGenerated,Detail Info for Event 23,Event
EVT024,2023-10-26T06:55:28,ProjectCreated,Detail Info for Event 24,Event
EVT025,2023-10-01T01:18:05,PrerequisiteFulfilled,Detail Info for Event 25,Event
EVT026,2024-06-13T23:45:09,ReportGenerated,Detail Info for Event 26,Event
EVT027,2023-05-22T23:12:32,ClientCreated,Detail Info for Event 27,Event
EVT028,2023-07-09T17:28:48,ProjectStatusChange,Detail Info for Event 28,Event
EVT029,2024-11-26T15:21:15,PrerequisiteFulfilled,Detail Info for Event 29,Event
EVT030,2023-10-06T12:33:53,PrerequisiteFulfilled,Detail Info for Event 30,Event
EVT031,2024-02-14T01:17:42,ProjectStatusChange,Detail Info for Event 31,Event
EVT032,2023-02-10T15:46:58,InteractionLogged,Detail Info for Event 32,Event
EVT033,2024-03-22T14:00:39,ProjectCreated,Detail Info for Event 33,Event
EVT034,2023-07-17T06:44:59,PrerequisiteFulfilled,Detail Info for Event 34,Event
EVT035,2023-08-16T17:11:33,ReportGenerated,Detail Info for Event 35,Event
EVT036,2024-05-15T05:50:06,InteractionLogged,Detail Info for Event 36,Event
EVT037,2023-08-27T13:27:26,PrerequisiteFulfilled,Detail Info for Event 37,Event
EVT038,2024-05-18T06:54:27,FundingStatusChange,Detail Info for Event 38,Event
EVT039,2024-08-22T23:28:52,WorkPackageStatusChange,Detail Info for Event 39,Event
EVT040,2024-07-30T21:12:50,UserLogin,Detail Info for Event 40,Event
EVT041,2024-12-07T16:42:03,ProjectCreated,Detail Info for Event 41,Event
EVT042,2023-06-27T12:00:39,ClientCreated,Detail Info for Event 42,Event
EVT043,2023-04-20T04:50:58,DocumentUpload,Detail Info for Event 43,Event
EVT044,2024-05-22T19:48:55,DocumentUpload,Detail Info for Event 44,Event
EVT045,2023-08-20T04:35:43,ProjectCreated,Detail Info for Event 45,Event
EVT046,2025-03-27T23:50:34,DocumentUpload,Detail Info for Event 46,Event
EVT047,2023-11-29T05:11:39,FundingStatusChange,Detail Info for Event 47,Event
EVT048,2025-03-29T01:07:27,ProjectCreated,Detail Info for Event 48,Event
EVT049,2023-05-06T21:26:15,PrerequisiteFulfilled,Detail Info for Event 49,Event
EVT050,2024-08-27T05:57:37,DocumentUpload,Detail Info for Event 50,Event
EVT051,2023-06-18T03:58:01,UserLogin,Detail Info for Event 51,Event
EVT052,2025-01-08T11:38:14,WorkPackageStatusChange,Detail Info for Event 52,Event
EVT053,2024-05-08T05:28:33,ClientCreated,Detail Info for Event 53,Event
EVT054,2025-03-16T04:12:42,FundingStatusChange,Detail Info for Event 54,Event
EVT055,2024-09-14T04:55:38,FundingStatusChange,Detail Info for Event 55,Event
EVT056,2024-07-28T17:14:34,ProjectCreated,Detail Info for Event 56,Event
EVT057,2024-04-18T04:56:39,ClientCreated,Detail Info for Event 57,Event
EVT058,2024-10-20T13:55:44,DocumentUpload,Detail Info for Event 58,Event
EVT059,2023-06-08T17:53:20,UserLogin,Detail Info for Event 59,Event
EVT060,2024-10-08T22:33:25,ClientCreated,Detail Info for Event 60,Event
EVT061,2024-01-14T08:14:40,PrerequisiteFulfilled,Detail Info for Event 61,Event
EVT062,2024-08-28T04:46:30,ProjectStatusChange,Detail Info for Event 62,Event
EVT063,2024-10-21T00:59:57,InteractionLogged,Detail Info for Event 63,Event
EVT064,2024-09-18T19:09:19,DocumentUpload,Detail Info for Event 64,Event
EVT065,2023-03-22T13:16:19,InteractionLogged,Detail Info for Event 65,Event
EVT066,2024-12-09T12:51:20,DocumentUpload,Detail Info for Event 66,Event
EVT067,2024-08-13T20:33:58,PrerequisiteFulfilled,Detail Info for Event 67,Event
EVT068,2024-03-27T14:34:16,InteractionLogged,Detail Info for Event 68,Event
EVT069,2023-01-09T00:01:15,InteractionLogged,Detail Info for Event 69,Event
EVT070,2023-06-21T02:04:58,FundingStatusChange,Detail Info for Event 70,Event
EVT071,2024-04-09T15:27:22,ProjectCreated,Detail Info for Event 71,Event
EVT072,2025-01-27T14:47:45,DocumentUpload,Detail Info for Event 72,Event
EVT073,2024-08-30T19:55:28,UserLogin,Detail Info for Event 73,Event
EVT074,2024-11-04T22:13:25,InteractionLogged,Detail Info for Event 74,Event
EVT075,2023-08-25T23:00:35,ProjectCreated,Detail Info for Event 75,Event
EVT076,2023-04-10T13:20:10,ProjectCreated,Detail Info for Event 76,Event
EVT077,2023-05-19T16:48:29,FundingStatusChange,Detail Info for Event 77,Event
EVT078,2023-12-09T03:14:10,InteractionLogged,Detail Info for Event 78,Event
EVT079,2023-05-07T02:00:49,ProjectStatusChange,Detail Info for Event 79,Event
EVT080,2023-11-05T21:37:40,ReportGenerated,Detail Info for Event 80,Event
EVT081,2023-09-04T20:25:46,DocumentUpload,Detail Info for Event 81,Event
EVT082,2023-01-14T18:42:06,InteractionLogged,Detail Info for Event 82,Event
EVT083,2023-11-11T10:52:52,PrerequisiteFulfilled,Detail Info for Event 83,Event
EVT084,2023-02-13T18:19:55,DocumentUpload,Detail Info for Event 84,Event
EVT085,2023-05-27T23:16:18,WorkPackageStatusChange,Detail Info for Event 85,Event
EVT086,2024-12-07T22:01:11,ProjectStatusChange,Detail Info for Event 86,Event
EVT087,2024-05-06T14:56:15,PrerequisiteFulfilled,Detail Info for Event 87,Event
EVT088,2023-04-24T00:12:23,ProjectStatusChange,Detail Info for Event 88,Event
EVT089,2024-11-10T16:02:36,WorkPackageStatusChange,Detail Info for Event 89,Event
EVT090,2024-05-07T23:18:56,WorkPackageStatusChange,Detail Info for Event 90,Event
EVT091,2023-10-14T15:18:00,InteractionLogged,Detail Info for Event 91,Event
EVT092,2024-10-27T13:42:02,ClientCreated,Detail Info for Event 92,Event
EVT093,2025-02-08T19:09:07,ReportGenerated,Detail Info for Event 93,Event
EVT094,2023-11-03T15:26:05,PrerequisiteFulfilled,Detail Info for Event 94,Event
EVT095,2023-01-30T21:05:51,FundingStatusChange,Detail Info for Event 95,Event
EVT096,2025-01-13T17:24:25,FundingStatusChange,Detail Info for Event 96,Event
EVT097,2025-03-17T05:04:22,UserLogin,Detail Info for Event 97,Event
EVT098,2023-04-06T08:18:50,UserLogin,Detail Info for Event 98,Event
EVT099,2024-09-17T17:58:07,ReportGenerated,Detail Info for Event 99,Event
EVT100,2023-04-16T14:33:28,PrerequisiteFulfilled,Detail Info for Event 100,Event
EVT101,2024-04-05T21:19:30,ReportGenerated,Detail Info for Event 101,Event
EVT102,2024-09-13T06:53:01,InteractionLogged,Detail Info for Event 102,Event
EVT103,2023-06-28T00:20:02,DocumentUpload,Detail Info for Event 103,Event
EVT104,2023-03-08T06:31:06,PrerequisiteFulfilled,Detail Info for Event 104,Event
EVT105,2024-11-19T18:56:40,PrerequisiteFulfilled,Detail Info for Event 105,Event
EVT106,2023-07-18T15:32:43,WorkPackageStatusChange,Detail Info for Event 106,Event
EVT107,2024-09-01T08:39:44,ProjectCreated,Detail Info for Event 107,Event
EVT108,2023-10-28T11:28:17,ProjectStatusChange,Detail Info for Event 108,Event
EVT109,2023-03-19T14:06:03,ClientCreated,Detail Info for Event 109,Event
EVT110,2023-05-19T20:02:22,ProjectStatusChange,Detail Info for Event 110,Event
EVT111,2023-09-21T05:37:31,ProjectCreated,Detail Info for Event 111,Event
EVT112,2025-03-30T06:05:45,ProjectCreated,Detail Info for Event 112,Event
EVT113,2023-08-13T19:06:53,FundingStatusChange,Detail Info for Event 113,Event
EVT114,2023-06-18T03:13:22,UserLogin,Detail Info for Event 114,Event
EVT115,2024-11-23T01:08:13,ProjectCreated,Detail Info for Event 115,Event
EVT116,2023-05-26T05:27:30,UserLogin,Detail Info for Event 116,Event
EVT117,2024-06-09T08:08:09,PrerequisiteFulfilled,Detail Info for Event 117,Event
EVT118,2024-12-12T17:59:36,InteractionLogged,Detail Info for Event 118,Event
EVT119,2024-06-27T03:00:59,ProjectStatusChange,Detail Info for Event 119,Event
EVT120,2024-06-05T20:19:39,WorkPackageStatusChange,Detail Info for Event 120,Event
EVT121,2024-05-01T20:23:05,InteractionLogged,Detail Info for Event 121,Event
EVT122,2023-12-01T08:05:07,DocumentUpload,Detail Info for Event 122,Event
EVT123,2024-06-01T00:26:48,ProjectStatusChange,Detail Info for Event 123,Event
EVT124,2024-06-01T19:02:33,ProjectStatusChange,Detail Info for Event 124,Event
EVT125,2024-10-08T07:09:44,ReportGenerated,Detail Info for Event 125,Event
EVT126,2023-05-20T09:59:09,ReportGenerated,Detail Info for Event 126,Event
EVT127,2024-05-29T15:22:30,ClientCreated,Detail Info for Event 127,Event
EVT128,2024-03-04T10:25:15,InteractionLogged,Detail Info for Event 128,Event
EVT129,2024-03-02T09:52:40,DocumentUpload,Detail Info for Event 129,Event
EVT130,2024-04-21T13:58:26,ReportGenerated,Detail Info for Event 130,Event
EVT131,2024-10-30T09:05:37,PrerequisiteFulfilled,Detail Info for Event 131,Event
EVT132,2024-04-01T18:39:35,ProjectStatusChange,Detail Info for Event 132,Event
EVT133,2024-06-20T06:02:46,ClientCreated,Detail Info for Event 133,Event
EVT134,2023-12-16T04:29:03,InteractionLogged,Detail Info for Event 134,Event
EVT135,2023-08-17T08:26:17,PrerequisiteFulfilled,Detail Info for Event 135,Event
EVT136,2023-04-08T21:56:05,ReportGenerated,Detail Info for Event 136,Event
EVT137,2023-11-26T13:23:58,UserLogin,Detail Info for Event 137,Event
EVT138,2023-01-22T20:55:41,InteractionLogged,Detail Info for Event 138,Event
EVT139,2024-10-06T18:07:35,FundingStatusChange,Detail Info for Event 139,Event
EVT140,2023-02-19T08:28:22,ProjectStatusChange,Detail Info for Event 140,Event
EVT141,2024-03-03T09:53:48,UserLogin,Detail Info for Event 141,Event
EVT142,2023-08-31T17:45:39,FundingStatusChange,Detail Info for Event 142,Event
EVT143,2023-02-28T02:49:30,ReportGenerated,Detail Info for Event 143,Event
EVT144,2023-03-26T21:03:24,WorkPackageStatusChange,Detail Info for Event 144,Event
EVT145,2023-05-10T15:30:56,ProjectStatusChange,Detail Info for Event 145,Event
EVT146,2025-02-01T05:31:16,DocumentUpload,Detail Info for Event 146,Event
EVT147,2023-05-30T14:58:57,ProjectCreated,Detail Info for Event 147,Event
EVT148,2023-01-08T22:07:53,ClientCreated,Detail Info for Event 148,Event
EVT149,2024-01-01T15:25:56,WorkPackageStatusChange,Detail Info for Event 149,Event
EVT150,2023-10-22T22:53:53,UserLogin,Detail Info for Event 150,Event
