prereqID:ID,description,status,dueDate:date,fulfillmentDate:date,:LABEL
PR001,Termin für Begehung B002 vereinbart,fulfilled,2024-01-30,2024-01-25,Prerequisite
PR002,Angebot P002 unterschrieben / Vertrag vorhanden,fulfilled,2024-01-15,2024-01-15,Prerequisite
PR003,Voraussetzung Nr. 3 (Freigabe),pending,2023-04-04,,Prerequisite
PR004,Voraussetzung Nr. 4 (Freigabe),fulfilled,2024-07-10,2024-06-30,Prerequisite
PR005,Voraussetzung Nr. 5 (Zahlung),fulfilled,2024-04-15,2023-09-18,Prerequisite
PR006,Voraussetzung Nr. 6 (Vertrag),pending,2024-05-11,,Prerequisite
PR007,Nächtlicher Datenabgleich Server XYZ,fulfilled,,2024-04-07,Prerequisite
PR008,Voraussetzung Nr. 8 (Termin),fulfilled,2023-03-07,2023-01-17,Prerequisite
PR009,Voraussetzung Nr. 9 (Freigabe),fulfilled,2023-09-26,2023-04-11,Prerequisite
PR010,Voraussetzung Nr. 10 (Zahlung),fulfilled,2023-09-27,2023-05-29,Prerequisite
PR011,Voraussetzung Nr. 11 (Vertrag),fulfilled,2023-07-02,2023-02-11,Prerequisite
PR012,Voraussetzung Nr. 12 (Pläne),pending,2023-04-05,,Prerequisite
PR013,Voraussetzung Nr. 13 (Vertrag),fulfilled,2023-06-18,2023-02-04,Prerequisite
PR014,Voraussetzung Nr. 14 (Daten),fulfilled,2024-06-10,2023-06-12,Prerequisite
PR015,Voraussetzung Nr. 15 (Pläne),fulfilled,2023-12-04,2023-10-05,Prerequisite
PR016,Voraussetzung Nr. 16 (Freigabe),fulfilled,2023-03-13,2023-01-20,Prerequisite
PR017,Voraussetzung Nr. 17 (Freigabe),pending,2024-09-22,,Prerequisite
PR018,Voraussetzung Nr. 18 (Zahlung),fulfilled,2023-11-17,2023-03-11,Prerequisite
PR019,Voraussetzung Nr. 19 (Freigabe),pending,2023-06-25,,Prerequisite
PR020,Voraussetzung Nr. 20 (Freigabe),pending,2023-07-20,,Prerequisite
PR021,Voraussetzung Nr. 21 (Vertrag),pending,2023-07-01,,Prerequisite
PR022,Voraussetzung Nr. 22 (Pläne),fulfilled,2024-01-28,2023-06-10,Prerequisite
PR023,Voraussetzung Nr. 23 (Info),pending,2023-04-26,,Prerequisite
PR024,Voraussetzung Nr. 24 (Daten),pending,2023-05-28,,Prerequisite
PR025,Voraussetzung Nr. 25 (Vertrag),fulfilled,2024-08-09,2023-10-31,Prerequisite
PR026,Voraussetzung Nr. 26 (Termin),fulfilled,2023-01-26,2023-01-28,Prerequisite
PR027,Voraussetzung Nr. 27 (Zahlung),fulfilled,2024-09-30,2023-08-18,Prerequisite
PR028,Voraussetzung Nr. 28 (Zahlung),fulfilled,2023-09-11,2023-03-18,Prerequisite
PR029,Voraussetzung Nr. 29 (Pläne),fulfilled,2023-08-17,2023-01-14,Prerequisite
PR030,Voraussetzung Nr. 30 (Daten),pending,2024-05-18,,Prerequisite
PR031,Voraussetzung Nr. 31 (Daten),pending,2024-06-12,,Prerequisite
PR032,Voraussetzung Nr. 32 (Pläne),fulfilled,2024-05-27,2023-04-30,Prerequisite
PR033,Voraussetzung Nr. 33 (Pläne),fulfilled,2024-05-05,2024-01-10,Prerequisite
PR034,Voraussetzung Nr. 34 (Vertrag),fulfilled,2023-12-11,2023-10-02,Prerequisite
PR035,Voraussetzung Nr. 35 (Daten),fulfilled,2024-01-26,2023-05-21,Prerequisite
PR036,Voraussetzung Nr. 36 (Freigabe),fulfilled,2024-06-16,2024-04-22,Prerequisite
PR037,Voraussetzung Nr. 37 (Termin),fulfilled,2024-04-16,2024-03-27,Prerequisite
PR038,Voraussetzung Nr. 38 (Freigabe),pending,2024-08-24,,Prerequisite
PR039,Voraussetzung Nr. 39 (Info),pending,2023-10-19,,Prerequisite
PR040,Voraussetzung Nr. 40 (Freigabe),pending,2024-03-08,,Prerequisite
PR041,Voraussetzung Nr. 41 (Freigabe),pending,2024-06-08,,Prerequisite
PR042,Voraussetzung Nr. 42 (Termin),fulfilled,2023-10-04,2023-02-02,Prerequisite
PR043,Voraussetzung Nr. 43 (Daten),pending,2024-09-21,,Prerequisite
PR044,Voraussetzung Nr. 44 (Info),fulfilled,2023-03-09,2023-01-27,Prerequisite
PR045,Voraussetzung Nr. 45 (Info),pending,2024-09-27,,Prerequisite
PR046,Voraussetzung Nr. 46 (Daten),fulfilled,2023-02-05,2023-01-06,Prerequisite
PR047,Voraussetzung Nr. 47 (Info),pending,2023-05-02,,Prerequisite
PR048,Voraussetzung Nr. 48 (Termin),fulfilled,2023-03-11,2023-03-08,Prerequisite
PR049,Voraussetzung Nr. 49 (Termin),fulfilled,2023-09-29,2023-01-09,Prerequisite
PR050,Voraussetzung Nr. 50 (Pläne),fulfilled,2024-10-01,2024-05-21,Prerequisite
PR051,Voraussetzung Nr. 51 (Freigabe),pending,2023-11-12,,Prerequisite
PR052,Voraussetzung Nr. 52 (Info),fulfilled,2023-07-29,2023-01-20,Prerequisite
PR053,Voraussetzung Nr. 53 (Zahlung),pending,2024-05-31,,Prerequisite
PR054,Voraussetzung Nr. 54 (Pläne),pending,2024-05-16,,Prerequisite
PR055,Voraussetzung Nr. 55 (Vertrag),fulfilled,2024-02-02,2023-12-06,Prerequisite
PR056,Voraussetzung Nr. 56 (Daten),pending,2024-08-16,,Prerequisite
PR057,Voraussetzung Nr. 57 (Vertrag),fulfilled,2024-06-11,2023-12-12,Prerequisite
PR058,Voraussetzung Nr. 58 (Pläne),pending,2024-08-02,,Prerequisite
PR059,Voraussetzung Nr. 59 (Freigabe),pending,2023-05-23,,Prerequisite
PR060,Voraussetzung Nr. 60 (Freigabe),pending,2023-12-16,,Prerequisite
PR061,Voraussetzung Nr. 61 (Daten),pending,2023-08-11,,Prerequisite
PR062,Voraussetzung Nr. 62 (Freigabe),pending,2024-05-29,,Prerequisite
PR063,Voraussetzung Nr. 63 (Vertrag),fulfilled,2023-02-01,2023-01-25,Prerequisite
PR064,Voraussetzung Nr. 64 (Info),fulfilled,2023-05-10,2023-03-06,Prerequisite
PR065,Voraussetzung Nr. 65 (Vertrag),pending,2023-08-31,,Prerequisite
PR066,Voraussetzung Nr. 66 (Pläne),pending,2024-09-15,,Prerequisite
PR067,Voraussetzung Nr. 67 (Zahlung),fulfilled,2024-06-08,2024-01-14,Prerequisite
PR068,Voraussetzung Nr. 68 (Freigabe),fulfilled,2024-06-16,2023-12-14,Prerequisite
PR069,Voraussetzung Nr. 69 (Freigabe),fulfilled,2023-05-08,2023-01-21,Prerequisite
PR070,Voraussetzung Nr. 70 (Daten),fulfilled,2024-05-29,2024-02-14,Prerequisite
PR071,Voraussetzung Nr. 71 (Termin),pending,2024-07-13,,Prerequisite
PR072,Voraussetzung Nr. 72 (Zahlung),pending,2023-04-25,,Prerequisite
PR073,Voraussetzung Nr. 73 (Termin),fulfilled,2024-02-27,2023-07-23,Prerequisite
PR074,Voraussetzung Nr. 74 (Vertrag),fulfilled,2024-06-18,2023-09-11,Prerequisite
PR075,Voraussetzung Nr. 75 (Termin),fulfilled,2024-08-12,2023-08-05,Prerequisite
PR076,Voraussetzung Nr. 76 (Zahlung),fulfilled,2023-07-15,2023-01-07,Prerequisite
PR077,Voraussetzung Nr. 77 (Termin),fulfilled,2023-11-18,2023-02-27,Prerequisite
PR078,Voraussetzung Nr. 78 (Pläne),pending,2023-01-07,,Prerequisite
PR079,Voraussetzung Nr. 79 (Info),fulfilled,2023-06-30,2023-04-16,Prerequisite
PR080,Voraussetzung Nr. 80 (Zahlung),fulfilled,2023-03-13,2023-03-15,Prerequisite
