:START_ID,:END_ID,:TYPE
INT038,CP029,WITH_CONTACT
INT045,CP019,WITH_CONTACT
INT015,CP002,WITH_CONTACT
INT020,CP021,WITH_CONTACT
INT031,CP005,WITH_CONTACT
INT001,CP002,WITH_CONTACT
INT002,CP007,WITH_CONTACT
INT025,CP006,WITH_CONTACT
INT022,CP040,WITH_CONTACT
INT006,CP014,WITH_CONTACT
INT027,CP014,WITH_CONTACT
INT026,CP038,WITH_CONTACT
INT050,CP026,WITH_CONTACT
INT012,CP036,WITH_CONTACT
INT029,CP009,WITH_CONTACT
INT004,CP035,WITH_CONTACT
INT035,CP022,WITH_CONTACT
INT033,CP038,WITH_CONTACT
INT048,CP031,WITH_CONTACT
INT010,CP027,WITH_CONTACT
INT034,CP030,WITH_CONTACT
INT037,CP034,WITH_CONTACT
INT017,CP040,WITH_CONTACT
INT011,CP004,WITH_CONTACT
INT023,CP026,WITH_CONTACT
INT007,CP016,WITH_CONTACT
INT002,CP004,WITH_CONTACT
INT036,CP029,WITH_CONTACT
INT014,CP030,WITH_CONTACT
INT008,CP008,WITH_CONTACT
INT003,CP030,WITH_CONTACT
INT049,CP024,WITH_CONTACT
INT028,CP010,WITH_CONTACT
