:START_ID,:END_ID,:TYPE
INT021,P009,RELATED_TO
INT028,P002,RELATED_TO
INT042,P008,RELATED_TO
INT045,P007,RELATED_TO
INT022,P009,RELATED_TO
INT002,P004,RELATED_TO
INT033,P001,RELATED_TO
INT037,P009,RELATED_TO
INT010,P004,RELATED_TO
INT003,P006,RELATED_TO
INT013,P001,RELATED_TO
INT006,P009,RELATED_TO
INT050,P001,RELATED_TO
INT001,P007,RELATED_TO
INT027,P001,RELATED_TO
INT009,P005,RELATED_TO
INT004,P008,RELATED_TO
INT043,P004,RELATED_TO
INT035,P003,RELATED_TO
INT024,P004,RELATED_TO
INT034,P003,RELATED_TO
INT031,P002,RELATED_TO
INT038,P001,RELATED_TO
INT003,P003,RELATED_TO
INT041,P002,RELATED_TO
INT047,P002,RELATED_TO
INT014,P009,RELATED_TO
INT023,P006,RELATED_TO
INT012,P001,RELATED_TO
INT026,P007,RELATED_TO
INT005,P008,RELATED_TO
INT018,P009,RELATED_TO
INT011,P005,RELATED_TO
INT029,P005,RELATED_TO
INT001,P002,RELATED_TO
INT049,P006,RELATED_TO
INT020,P003,RELATED_TO
INT016,P006,RELATED_TO
INT036,P007,RELATED_TO
INT032,P003,RELATED_TO
INT017,P003,RELATED_TO
INT008,P007,RELATED_TO
INT019,P005,RELATED_TO
