:START_ID,:END_ID,:TYPE
P001,WP-P001-1,HAS_WORKPACKAGE
P001,WP-P001-2,HAS_WORKPACKAGE
P001,WP-P001-3,HAS_WORKPACKAGE
P001,WP-P001-4,HAS_WORKPACKAGE
P002,WP-P002-1,HAS_WORKPACKAGE
P002,WP-P002-2,HAS_WORKPACKAGE
P002,WP-P002-3,HAS_WORKPACKAGE
P002,WP-P002-4,HAS_WORKPACKAGE
P003,WP-P003-1,HAS_WORKPACKAGE
P003,WP-P003-2,HAS_WORKPACKAGE
P003,WP-P003-3,HAS_WORKPACKAGE
P004,WP-P004-1,HAS_WORKPACKAGE
P004,WP-P004-2,HAS_WORKPACKAGE
P004,WP-P004-3,HAS_WORKPACKAGE
P006,WP-P006-1,HAS_WORKPACKAGE
P006,WP-P006-2,HAS_WORKPACKAGE
P007,WP-P007-1,HAS_WORKPACKAGE
P007,WP-P007-2,HAS_WORKPACKAGE
P008,WP-P008-1,HAS_WORKPACKAGE
