:START_ID,:END_ID,:TYPE
R003,PERM005,HAS_PERMISSION
R002,PERM006,HAS_PERMISSION
R002,PERM002,HAS_PERMISSION
R001,PERM001,HAS_PERMISSION
R004,PERM004,HAS_PERMISSION
R004,PERM008,HAS_PERMISSION
R002,PERM003,HAS_PERMISSION
R003,PERM001,HAS_PERMISSION
R001,PERM002,HAS_PERMISSION
R003,PERM009,HAS_PERMISSION
R003,PERM007,HAS_PERMISSION
R003,PERM006,HAS_PERMISSION
R002,PERM001,HAS_PERMISSION
R003,PERM003,HAS_PERMISSION
R002,PERM007,HAS_PERMISSION
R003,PERM008,HAS_PERMISSION
R003,PERM002,HAS_PERMISSION
R004,PERM001,HAS_PERMISSION
R003,PERM004,HAS_PERMISSION
