priceID:ID,value_CHF:double,unit,description,validFrom:date,validUntil:date,:LABEL
SP001-GEAK,1200.0,CHF,Basispreis GEAK Plus Beratung EFH,2024-01-01,,ServicePrice
SP002-GEAK-MFH,1800.0,CHF,Basispreis GEAK Plus Beratung MFH,2024-01-01,,ServicePrice
SP003-AUDIT-H,180.0,CHF/h,Stundensatz Energieaudit,2024-01-01,,ServicePrice
SP004-MINERGIE,2500.0,CHF,Pauschale Minergie Zert. EFH,2024-01-01,,ServicePrice
SP005-HEATING,800.0,CHF,Pauschale Beratung Heizungsersatz EFH,2024-01-01,,ServicePrice
SP006-THERM,1500.0,CHF,Basispreis Therm. Simulation EFH,2024-01-01,,ServicePrice
SP007-GEAK-2023,1100.0,CHF,Basispreis GEAK Plus Beratung EFH,2023-01-01,2023-12-31,ServicePrice
SP008-MINERGIE-MFH,4000.0,CHF,Pauschale Minergie Zert. MFH,2024-01-01,,ServicePrice
SP009-AUDIT-H-2023,170.0,CHF/h,Stundensatz Energieaudit,2023-01-01,2023-12-31,ServicePrice
SP010-GEAK-Basis,900.0,CHF,Basispreis GEAK (ohne Beratung),2024-01-01,,ServicePrice
SP011-MINERGIE-P,3000.0,CHF,Pauschale Minergie-P Zert. EFH,2024-01-01,,ServicePrice
SP012-GEAK-MFH-2023,1650.0,CHF,Basispreis GEAK Plus Beratung MFH,2023-01-01,2023-12-31,ServicePrice
